Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2018;4.8;10.5;0;0.58;651.415688
02/02/2018;-1;9.4;0.2;0.38;740.2901215
03/02/2018;2.4;9.2;3.6;0.46;336.4680402
04/02/2018;0.4;6.8;0.2;0.44;309.0273638
05/02/2018;-0.1;3.9;0;0.93;921.4114129
06/02/2018;-1.9;2;3;0.31;336.6117747
07/02/2018;-1.3;3.4;0.2;0.43;520.7191343
08/02/2018;-0.1;6.8;0;0.54;878.4874919
09/02/2018;-2.9;8.4;2;0.72;391.7346213
10/02/2018;-3.6;10.8;4.8;0.48;942.2842014
11/02/2018;6.5;12;0.8;0.97;739.2037736
12/02/2018;-2.1;9.2;0.2;0.67;1066.287473
13/02/2018;0.3;8.3;8.1;0.97;389.3118695
14/02/2018;-0.9;12.2;12.5;0.51;328.6077599
15/02/2018;7.5;14.2;0.4;0.1;333.3524954
16/02/2018;8.2;11.8;8.5;0.77;589.4492185
17/02/2018;6.5;11.8;2.4;0.91;738.7382156
18/02/2018;2;8.9;3.2;0.28;366.6336075
19/02/2018;4.4;10.4;2;0.36;364.1883937
20/02/2018;9.4;13.6;1.8;1.24;476.7351427
21/02/2018;2.8;8.1;0;1.23;1099.850058
22/02/2018;-0.6;7.7;0.2;1.24;1236.541185
23/02/2018;-1.1;5.4;0;1.26;1128.397345
24/02/2018;-2.1;7.9;0;1.18;1188.343208
25/02/2018;-1.9;6.7;0;1.8;1309.181277
26/02/2018;-2.8;3;0;2.32;1341.212302
27/02/2018;-5.5;1;0;1.67;1350.251955
28/02/2018;-7.1;0.9;5;1.26;654.5124642
01/03/2018;-2.9;13.3;4.9;0.5;602.0779413
02/03/2018;6.7;11.8;1.6;2.37;1241.713039
03/03/2018;3.6;14.7;3;1.89;1331.293958
04/03/2018;5.9;13.1;7.9;1.27;873.287256
05/03/2018;4;13.7;0.4;1.24;875.1969607
06/03/2018;4.2;11.5;12.3;0.83;632.7324916
07/03/2018;4.8;12.3;0.8;1.63;1401.801343
08/03/2018;2.6;15.5;0.4;1.68;1346.685192
09/03/2018;9.2;17.2;1.8;2.05;761.6091971
10/03/2018;11.1;18.1;0;1.71;898.6513326
11/03/2018;10.3;16.2;1.6;2.49;1080.517751
12/03/2018;8.5;12.6;6;2.03;907.0251526
13/03/2018;3.9;13.8;0;1.67;1313.320828
14/03/2018;1.9;16.5;3.4;1.84;1051.701339
15/03/2018;6.9;13.4;10.6;1.34;820.2784986
16/03/2018;5.8;13.3;1;1.5;1020.539109
17/03/2018;3;11;10.1;1.11;904.8545161
18/03/2018;5;11.6;0.4;1.38;1213.493737
19/03/2018;-0.2;2.7;10;0.31;550.5770489
20/03/2018;0.2;9.8;0;2.45;1735.315512
21/03/2018;-0.8;10.4;0;2.08;1829.653275
22/03/2018;-2.9;10.2;0;1.64;1629.905876
23/03/2018;4.6;9.1;5.6;0.7;574.8538577
24/03/2018;6.4;13.4;0;2.1;1217.194825
25/03/2018;6.3;14.7;0;1.77;1044.97339
26/03/2018;5.5;14.1;2;2.04;1302.651876
27/03/2018;7;12.9;3.4;0.15;598.9250515
28/03/2018;9.7;12.8;6.4;1.08;604.8972863
29/03/2018;2.5;13;5.4;1.64;1296.61456
30/03/2018;5.9;13.2;6.2;2.23;1434.725025
31/03/2018;4.7;11.6;4.2;2.03;1435.204158
01/04/2018;1.5;14.7;0;1.97;1450.641375
02/04/2018;7.9;17.8;1;2.56;961.7259365
03/04/2018;10;15.6;8;1.94;937.0625195
04/04/2018;7.7;14.1;3.2;1.52;903.4045404
05/04/2018;6.8;16;0;2.72;1885.501821
06/04/2018;4;23.7;0;3.71;2064.535019
07/04/2018;11.9;15.4;17.1;1.09;663.1541849
08/04/2018;10.4;15;0;1.04;668.7982913
09/04/2018;9.8;16.2;1.4;1.53;813.5063249
10/04/2018;8.5;16;4.4;2.05;1308.8987
11/04/2018;8.8;16.1;0.2;2.19;1123.136286
12/04/2018;9.9;17.5;6.9;2.12;1279.673471
13/04/2018;7;18.9;1.4;1.99;1416.006343
14/04/2018;10.4;17.1;0.2;2.25;1439.589386
15/04/2018;6.6;17.7;0.2;2.26;1430.193319
16/04/2018;7.1;17.9;0;2.81;1906.063817
17/04/2018;4.5;23.8;0.2;3.52;2334.433201
18/04/2018;8;28;0;4.64;2359.206929
19/04/2018;11.6;28.3;0.2;4.89;2356.233468
20/04/2018;9;27.8;0;4.59;2347.997242
21/04/2018;11.3;28.3;0.2;4.64;2335.245976
22/04/2018;12.5;24.6;0;4.01;1932.489666
23/04/2018;11.9;19.8;0;3.31;1958.663153
24/04/2018;5.7;20.7;0.2;3.06;2230.125235
25/04/2018;6.9;17.7;0.6;2.35;1441.933811
26/04/2018;3.7;17.9;0.2;2.63;1819.162284
27/04/2018;2.6;17.7;0.2;2.97;1820.885452
28/04/2018;5.7;15.1;0.2;1.55;956.1642121
29/04/2018;9.6;14.4;0.2;1.27;776.2113447
30/04/2018;7;12.6;0.2;1.98;1177.026601
01/05/2018;3.9;15.9;0.2;3.53;2411.305811
02/05/2018;2.1;14.8;1.8;1.73;1224.106349
03/05/2018;9;18.7;0;4.11;2295.679456
04/05/2018;3.7;20.9;0;4.45;2682.956052
05/05/2018;6.5;25.4;0;4.89;2584.368041
06/05/2018;12.8;27.6;0;4.51;2279.931242
07/05/2018;10.9;28.5;0.2;4.58;2455.054893
08/05/2018;11.1;23.2;0;3.09;1684.331967
09/05/2018;11.2;19.5;0;3.67;2038.964967
10/05/2018;9.5;20;0;4.41;2582.634581
11/05/2018;4.5;24.5;0.4;3.99;2215.188954
12/05/2018;10.5;12.9;10.7;1.08;828.9755449
13/05/2018;5.2;15.6;1.2;3.16;2167.780786
14/05/2018;6;18.3;0.4;2.03;1158.525712
15/05/2018;11.3;23.1;0;4.85;2552.550067
16/05/2018;8.8;24.8;0;4.5;2582.551863
17/05/2018;13.3;19.6;0;4.11;2115.507805
18/05/2018;9;23.3;0;5.17;2760.190062
19/05/2018;7.7;22.7;0;5.25;2745.775851
20/05/2018;7.5;24.5;0;5.36;2793.38569
21/05/2018;9.9;26;4.2;4.82;2343.777798
22/05/2018;9.2;26;0;4.23;2349.938666
23/05/2018;10.5;26;0.6;4.44;2233.448146
24/05/2018;9.3;27.8;0.2;4.4;2352.032787
25/05/2018;12.1;18.5;10.5;0.54;868.5760383
26/05/2018;13.9;26.7;1.6;3.67;1781.380029
27/05/2018;13.1;24.2;6.3;3.64;1955.572227
28/05/2018;14.9;25.4;7;3.25;1638.690949
29/05/2018;16.1;20.3;0.6;2.02;1050.407322
30/05/2018;14.1;22.7;0;3.65;1990.393268
31/05/2018;13.6;20.7;2.4;2;1148.70118
01/06/2018;15.8;23;0;3.69;1947.758549
02/06/2018;11.1;26.4;0;5.11;2730.728973
03/06/2018;15.2;26.6;0.4;3.92;1739.549131
04/06/2018;14.7;22;3.4;2.3;1318.792489
05/06/2018;14.1;23.6;2;3.29;1805.487086
06/06/2018;16.4;23.7;0.4;3.27;1747.094075
07/06/2018;14.8;24.7;1.4;3.56;1794.242643
08/06/2018;12.4;28.8;0;4.34;2208.259096
09/06/2018;15.9;27.8;57.2;4.76;2251.641488
10/06/2018;16.7;25.2;9.7;4.1;2072.99625
11/06/2018;15.6;21.2;5.2;2.86;1461.062181
12/06/2018;15;22.4;4.1;2.9;1546.991783
13/06/2018;13.6;23.7;0;4.38;2277.727818
14/06/2018;12.6;20.5;15.3;2.81;1616.466214
15/06/2018;16.1;23.5;0;4.06;2001.002291
16/06/2018;12.2;22.4;0;4;2185.011592
17/06/2018;14.8;22.1;0.8;4.49;2290.260025
18/06/2018;16;23.2;0;2.97;1496.485817
19/06/2018;12.1;26.5;0;5.08;2759.02969
20/06/2018;17.6;31.9;0;6.6;2828.830846
21/06/2018;16;27.1;0;6.6;2816.82304
22/06/2018;12.5;23.5;0;6.94;2979.400703
23/06/2018;12.9;25.3;0;6.91;2901.344678
24/06/2018;14;26.1;0;6.22;2640.178629
25/06/2018;11.1;27.4;0;6.78;2866.889793
26/06/2018;14.7;30.2;0;7.16;2883.912314
27/06/2018;16.4;31;0;6.68;2648.494297
28/06/2018;14.4;29.3;0;7.5;2852.526405
29/06/2018;18.1;30;0;7.21;2675.222786
30/06/2018;13.7;34.7;0.6;6.22;2604.885207
01/07/2018;19;33.3;0.2;6.21;2546.949926
02/07/2018;20;26.1;0.2;4.12;1871.730665
03/07/2018;17.4;28.6;0;4.78;2249.528997
04/07/2018;14.5;27.5;0.2;3.43;1688.625115
05/07/2018;16.4;25.3;0;4.79;2270.295729
06/07/2018;18.2;27.4;0;4;1794.102401
07/07/2018;14.2;31.3;0;5.43;2408.342199
08/07/2018;15;31.8;0;6.76;2594.426394
09/07/2018;15.6;29.7;0;6.77;2675.456558
10/07/2018;13.6;29.7;0;6.18;2528.242621
11/07/2018;16;26.5;0;6.62;2778.483669
12/07/2018;11;27.8;0;5.56;2455.819732
13/07/2018;12.2;30.7;0.2;6.36;2749.05761
14/07/2018;14;32.9;0;5.88;2257.672929
15/07/2018;14.7;33.6;0;6.56;2551.498932
16/07/2018;17.8;30.6;0;6.43;2412.094996
17/07/2018;15.7;26.5;0;3.91;1703.138443
18/07/2018;11.3;29.3;0;4.36;2030.497767
19/07/2018;14.3;32.7;15;5.2;1951.215273
