date;observateur;agri_parcelle;id_parcelle;stade;latitude;longitude;indemnes;trous;coty;tiges;doubles;interrang;intrarang;cage;longueur;largeur;densite_effective;peuplement;pdetruits;pleses
16/05/2020;Sausse;Fonteneilles;1;B4;47,62801;3,48414;7;0;20;0;3;45;30;n;NA;NA;74074,0740740741;60000;0;0,740740740740741
16/05/2020;Sausse;Fonteneilles;1;B4;47,62815;3,48559;14;0;16;0;4;45;30;n;NA;NA;74074,0740740741;66666,6666666667;0;0,533333333333333
16/05/2020;Sausse;Fonteneilles;1;B4;47,62826;3,48693;8;0;15;0;4;45;30;n;NA;NA;74074,0740740741;51111,1111111111;0;0,652173913043478
16/05/2020;Sausse;Fonteneilles;1;B4;47,62832;3,48819;3;0;1;0;0;45;30;n;NA;NA;74074,0740740741;8888,88888888889;0;0,25
16/05/2020;Sausse;Fonteneilles;1;B4;47,62839;3,48956;13;0;1;0;1;45;30;n;NA;NA;74074,0740740741;31111,1111111111;0;0,0714285714285714
16/05/2020;Sausse;Saison;2;B2;47,65554;3,46688;11;0;18;1;0;50;27;n;NA;NA;74074,0740740741;58000;0,0333333333333333;0,633333333333333
16/05/2020;Sausse;Saison;2;B2;47,65509;3,46733;3;0;6;5;0;50;27;n;NA;NA;74074,0740740741;18000;0,357142857142857;0,785714285714286
16/05/2020;Sausse;Saison;2;B2;47,65444;3,46797;8;0;13;1;0;50;27;n;NA;NA;74074,0740740741;42000;0,0454545454545455;0,636363636363636
16/05/2020;Sausse;Saison;2;B2;47,65394;3,46844;12;0;6;1;0;50;27;n;NA;NA;74074,0740740741;36000;0,0526315789473684;0,368421052631579
16/05/2020;Sausse;Saison;2;B2;47,65351;3,46903;2;0;12;2;0;50;27;n;NA;NA;74074,0740740741;28000;0,125;0,875
17/05/2020;Cadeddu;Bretagne;3;B2;47,72226;3,524;9;0;1;0;0;50;25;o;4,77;2,3;80000;9114,93938565309;0;0,1
17/05/2020;Cadeddu;Bretagne;3;B2;47,7223;3,52403;5;0;1;1;1;50;25;n;NA;NA;80000;12000;0,142857142857143;0,285714285714286
17/05/2020;Cadeddu;Bretagne;3;B2;47,7223;3,52403;8;0;0;0;0;50;25;n;NA;NA;80000;16000;0;0
17/05/2020;Cadeddu;Bretagne;3;B2;47,72303;3,52332;32;0;0;0;0;50;25;o;5,1;2,15;80000;29183,7665298678;0;0
17/05/2020;Cadeddu;Bretagne;3;B2;47,72312;3,52346;19;0;6;0;0;50;25;n;NA;NA;80000;50000;0;0,24
17/05/2020;Cadeddu;Bretagne;3;B2;47,72312;3,52346;5;0;2;0;0;50;25;n;NA;NA;80000;14000;0;0,285714285714286
17/05/2020;Cadeddu;Bretagne;3;B2;47,7238;3,52296;27;0;1;0;0;50;25;o;5,1;2,15;80000;25535,7957136343;0;0,0357142857142857
17/05/2020;Cadeddu;Bretagne;3;B2;47,72381;3,52312;5;0;7;0;0;50;25;n;NA;NA;80000;24000;0;0,583333333333333
17/05/2020;Cadeddu;Bretagne;3;B2;47,72381;3,52312;8;0;9;1;1;50;25;n;NA;NA;80000;34000;0,0555555555555556;0,555555555555556
17/05/2020;Cadeddu;Horton;4;B4;47,70066;3,45845;74;0;6;0;0;50;25;o;5,35;2,2;80000;67969,4137638063;0;0,075
17/05/2020;Cadeddu;Horton;4;B4;47,70066;3,45847;30;0;1;0;0;50;25;n;NA;NA;80000;62000;0;0,032258064516129
17/05/2020;Cadeddu;Horton;4;B4;47,70066;3,45847;27;0;3;0;0;50;25;n;NA;NA;80000;60000;0;0,1
17/05/2020;Cadeddu;Horton;4;B4;47,70125;3,45891;20;0;15;1;0;50;25;n;NA;NA;80000;70000;0,0277777777777778;0,444444444444444
17/05/2020;Cadeddu;Horton;4;B4;47,70196;3,45915;27;0;2;0;0;50;25;n;NA;NA;80000;58000;0;0,0689655172413793
