;x;y;presence_effaroucheur;nb_sain;nb_tige;nb_coty;surface;ecartement;annee;cailloux;ID;region;adventice;inter_plant;effaroucheur;sol;nombre_segments;date;ravageurs;transect;nb_arrachees;nb_taupins;nb_limace;nb_lievre;sains;estim_dens;leves;viables;taux_lesions;taux_detruits
1;-0.34813873;46.14696913;non;39666.66667;8000;17333.33333;3.39;60;2018;fort;1_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;65000;57000;0.266666667;0.123076923
2;-0.34700854;46.14066579;non;29333.33333;666.6666667;4666.666667;3.88;60;2018;faible;2_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;34666.66667;34000;0.134615385;0.019230769
3;-0.32726288;46.13046054;non;39459.45946;9729.72973;2432.432432;6.75;74;2018;faible;3_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;51621.62162;41891.89189;0.047120419;0.188481675
4;-0.33054049;46.12640297;non;31875;9687.5;1250;0.53;64;2018;fort;4_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;42812.5;33125;0.02919708;0.226277372
5;-0.34951848;46.1185978;oui;625;13750;31562.5;2.2;64;2018;fort;5_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;45937.5;32187.5;0.68707483;0.299319728
6;-0.54879022;46.13342454;oui;5454.545455;5194.805195;19480.51948;6.03;77;2018;faible;6_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;30129.87013;24935.06494;0.646551724;0.172413793
7;-0.97197249;46.10818008;non;12307.69231;11025.64103;11538.46154;1.44;78;2018;fort;7_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;34871.79487;23846.15385;0.330882353;0.316176471
8;-0.97619499;46.10888604;non;27027.02703;14324.32432;11081.08108;2.32;74;2018;fort;8_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;52432.43243;38108.10811;0.211340206;0.273195876
9;-0.97968082;46.11102474;oui;64871.79487;0;2564.102564;15.63;78;2018;fort;9_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;67435.89744;67435.89744;0.038022814;0
10;-0.93858139;46.1054068;non;43947.36842;2105.263158;13421.05263;6.22;76;2018;fort;10_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;59473.68421;57368.42105;0.225663717;0.03539823
11;-0.93942328;46.10610563;oui;540.5405405;15945.94595;37027.02703;0.91;74;2018;fort;11_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;53513.51351;37567.56757;0.691919192;0.297979798
12;-0.90157102;46.100111;oui;21025.64103;4615.384615;9487.179487;12.96;78;2018;fort;12_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;35128.20513;30512.82051;0.270072993;0.131386861
13;-0.86804134;46.10089041;non;39285.71429;6785.714286;24285.71429;7.39;56;2018;faible;13_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;70357.14286;63571.42857;0.345177665;0.096446701
14;-0.86432362;46.09851258;oui;30937.5;3750;4375;5.55;64;2018;fort;14_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;39062.5;35312.5;0.112;0.096
15;-0.81850284;46.10187936;oui;44126.98413;0;1904.761905;19.22;63;2018;faible;15_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;46031.74603;46031.74603;0.04137931;0
16;-0.85973013;46.09819375;oui;29000;0;16666.66667;7.27;60;2018;fort;16_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;45666.66667;45666.66667;0.364963504;0
17;-0.85411048;46.09880327;oui;34333.33333;2333.333333;24333.33333;3;60;2018;fort;17_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;61000;58666.66667;0.398907104;0.038251366
18;-0.84961315;46.09955097;oui;27297.2973;1081.081081;11621.62162;10;74;2018;faible;18_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;40000;38918.91892;0.290540541;0.027027027
19;-0.81522118;46.09448644;non;13770.4918;1967.213115;46229.5082;1.15;61;2018;faible;19_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;61967.21311;60000;0.746031746;0.031746032
20;-0.80560758;46.09499221;oui;50843.37349;0;0;11.03;83;2018;fort;20_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;50843.37349;50843.37349;0;0
21;-0.79552693;46.09612626;non;51000;333.3333333;8333.333333;6.39;60;2018;faible;21_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;59666.66667;59333.33333;0.139664804;0.005586592
22;-0.75319617;46.08227665;oui;16875;0;9375;4.43;64;2018;faible;22_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;26250;26250;0.357142857;0
23;-0.75303183;46.08432832;non;31111.11111;444.4444444;15555.55556;1.85;45;2018;faible;23_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;47111.11111;46666.66667;0.330188679;0.009433962
24;-0.7552766;46.03538969;oui;45945.94595;0;5135.135135;1.98;74;2018;faible;24_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;51081.08108;51081.08108;0.100529101;0
25;-0.58660761;45.98706961;oui;40857.14286;14857.14286;5142.857143;6.86;70;2018;fort;25_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;60857.14286;46000;0.084507042;0.244131455
26;-0.58735397;46.01421206;oui;769.2307692;6153.846154;34230.76923;4.93;52;2018;fort;26_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;41153.84615;35000;0.831775701;0.14953271
27;-0.6448621;46.08941146;oui;76666.66667;0;2666.666667;41.7;60;2018;fort;27_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;79333.33333;79333.33333;0.033613445;0
28;-0.68224403;46.14790464;non;4594.594595;25405.40541;26486.48649;9;74;2018;fort;28_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;56486.48649;31081.08108;0.468899522;0.449760766
29;-1.08358148;46.13080554;non;0;10810.81081;57837.83784;9.02;74;2018;fort;29_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;68648.64865;57837.83784;0.842519685;0.157480315
30;-0.97393313;46.10843815;oui;0;11714.28571;33142.85714;2.13;70;2018;fort;30_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;44857.14286;33142.85714;0.738853503;0.261146497
31;-0.82488932;46.09386917;oui;54000;4666.666667;2666.666667;3.2;60;2018;faible;31_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;61333.33333;56666.66667;0.043478261;0.076086957
32;-0.34429114;46.12159957;oui;2702.702703;10270.27027;32702.7027;6.1;74;2018;fort;32_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;45675.67568;35405.40541;0.715976331;0.224852071
33;-0.32708352;46.12553012;non;21500;13250;11500;4.9;80;2018;fort;33_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;46250;33000;0.248648649;0.286486486
34;-0.32678601;46.12620071;non;49041.09589;4657.534247;8767.123288;8.46;73;2018;Na;34_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;62465.75342;57808.21918;0.140350877;0.074561404
35;-0.34726499;46.14334176;non;49062.5;7812.5;3750;3;64;2018;faible;35_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;60625;52812.5;0.06185567;0.128865979
36;-0.34926855;46.15179489;non;3142.857143;9428.571429;45714.28571;1.08;70;2018;fort;36_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;58285.71429;48857.14286;0.784313725;0.161764706
37;-0.36501095;46.17122368;non;8571.428571;19142.85714;24571.42857;2.16;70;2018;faible;37_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;52285.71429;33142.85714;0.469945355;0.366120219
38;-0.36631878;46.17556177;oui;50000;0;4375;10;64;2018;faible;38_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;54375;54375;0.08045977;0
39;-0.35817379;46.18381895;oui;80615.38462;0;4000;9.83;65;2018;fort;39_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;84615.38462;84615.38462;0.047272727;0
40;-0.35347142;46.18891591;oui;53164.55696;0;9113.924051;10.2;79;2018;fort;40_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;62278.48101;62278.48101;0.146341463;0
41;-0.3740587;46.19206461;non;30270.27027;540.5405405;14594.59459;18.02;74;2018;faible;41_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;45405.40541;44864.86486;0.321428571;0.011904762
42;-0.50225594;46.16606642;non;67666.66667;1333.333333;11666.66667;2.09;60;2018;faible;44_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;80666.66667;79333.33333;0.144628099;0.016528926
43;-0.49493861;46.17301271;non;60000;0;9000;1.68;60;2018;faible;45_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;69000;69000;0.130434783;0
44;-0.43156292;46.23120482;oui;5000;3666.666667;25333.33333;2.63;60;2018;fort;48_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;34000;30333.33333;0.745098039;0.107843137
45;-0.39588877;46.21941356;oui;48000;1666.666667;4000;14.59;60;2018;faible;49_pc_2018;PC;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;53666.66667;52000;0.074534161;0.031055901
46;0.591461705;43.93290259;NA;56800;4800;10000;11.2;50;2019;NA;91_Gers_2019;GERS;faible_pression;23;;limoneux.argileux;5;13/05/2019;Taupins;C;NA;NA;NA;NA;NA;8.695652174;71600;66800;0.139664804;0.067039106
47;-0.45887844;46.43606724;NA;48095.2381;0;0;NA;60;2019;NA;68_PC_2019;PC;faible_pression;19;;inconnue;7;09/05/2019;Non;NA;NA;NA;NA;NA;NA;8.771929825;48095.2381;48095.2381;0;0
48;-0.99754408;46.17403402;NA;1282.051282;12051.28205;30256.41026;NA;78;2019;NA;64_PC_2019;PC;faible_pression;20;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;6.41025641;43589.74359;31538.46154;0.694117647;0.276470588
49;0.95371587;43.56148295;NA;26000;4333.333333;17666.66667;12.7;60;2019;NA;130_Gers_2019;GERS;faible_pression;NA;;argilo_calcaire;5;27/05/2019;Limaces;B;NA;NA;NA;NA;NA;NA;48000;43666.66667;0.368055556;0.090277778
50;-0.47266098;46.42278991;NA;35476.19048;3333.333333;37619.04762;NA;60;2019;NA;57_PC_2019;PC;faible_pression;20;;inconnue;7;09/05/2019;Non;NA;NA;NA;NA;NA;NA;8.333333333;76428.57143;73095.2381;0.492211838;0.043613707
51;-1.04271463;46.19317823;NA;51875;1875;5625;NA;64;2019;NA;36_PC_2019;PC;faible_pression;23;;inconnue;5;06/05/2019;Non;NA;NA;NA;NA;NA;NA;6.793478261;59375;57500;0.094736842;0.031578947
52;0.92588338;43.58491838;NA;1090.909091;18181.81818;32000;2.77;55;2019;NA;129_Gers_2019;GERS;faible_pression;NA;;argilo_calcaire;5;27/05/2019;Limaces;B;NA;NA;NA;NA;NA;NA;51272.72727;33090.90909;0.624113475;0.354609929
