NomPar;campagne;x;y;station_meteo
Aubiet1_1;2022;0.78194773;43.64049288;3281
Aubiet2_2;2022;0.782139;43.63838775;3281
CA45_1;2022;2.134296538;48.12985762;4551
CA45_2;2022;2.1305388;48.125539;4551
COULONGES_2;2022;-0.599918941;46.49927481;7977
FDGEDA_1;2022;2.408868;46.932824;1899
FDGEDA_2;2022;2.41713;46.937882;1899
FDGEDA_6;2022;2.271682;46.99447;1899
FDGEDA_7;2022;2.269444;46.991228;1899
FDGEDA_8;2022;2.275668;46.994354;1899
Lamagistere_3;2022;0.8253368;44.1401604;4701
ST MAXIRE_1;2022;-0.471979598;46.38770829;7977
TI_agen_1;2022;0.499093229;44.03034891;3254
TI_ravard_1;2022;-0.641665972;46.24970056;7907
TI_rosieres_1;2022;6.006258;48.785364;5465
TI_rosieres_2;2022;6.010938222;48.80079478;5465
TI_rosieres_3;2022;6.012727;48.790447;5465
TI_rosieres_4;2022;6.018055;48.788845;5465
TI_villers_5;2022;6.007271;48.819288;5465
TI_villers_6;2022;6.007171;48.818028;5465
TI_villers_7;2022;6.001049;48.816633;5465
TI_villers_8;2022;6.000279;48.819315;5595
02_22;2022;2.30008;48.0822;4551
05_22;2022;2.2816;48.09082;4551
06_22;2022;2.27454;48.08194;4551
100_22;2022;2.35586;48.05948;4551
105_22;2022;2.37648;48.03858;4551
17_22;2022;2.353575;48.06815;4551
18_22;2022;2.352332;48.070648;4551
19_22;2022;2.425448;48.093696;4551
24_22;2022;2.555328;48.183007;9151
25_22;2022;2.531569;48.194551;9151
28_22;2022;2.48306;48.181345;9151
29_22;2022;2.485827;48.182662;9151
30_22;2022;2.567244;48.193297;9151
33_22;2022;2.444426;48.134921;4551
34_22;2022;2.447285;48.13926;4551
37_22;2022;2.345271;48.089388;4551
38_22;2022;2.34855;48.079674;4551
40_22;2022;2.296815;48.072648;4551
41_22;2022;2.296815;48.072648;4551
42_22;2022;2.289709;48.076626;4551
44_22;2022;2.355677;48.06197;4551
45_22;2022;2.359616;48.046093;4551
47_22;2022;2.36188;48.044558;4551
48_22;2022;2.342908;48.03863;4551
51_22;2022;2.29937;48.070764;4551
52_22;2022;2.350939;48.057543;4551
53_22;2022;2.035381;48.201633;4551
54_22;2022;2.27806;48.13688;4551
55_22;2022;2.41178;48.08778;4551
61_22;2022;2.499954;48.2265;9151
62_22;2022;2.514117;48.208556;9151
63_22;2022;2.515924;48.213014;9151
66_22;2022;2.032;48.25006;4551
67_22;2022;2.04832;48.23938;4551
68_2_22;2022;2.04408;48.23718;4551
69_2_22;2022;2.0272;48.2486;4551
70_22;2022;2.35566;48.0594;4551
71_22;2022;2.35914;48.06246;4551
73_22;2022;2.4383;48.03536;4551
74_22;2022;2.11288;48.29652;4551
75_22;2022;2.12644;48.28696;4551
76_22;2022;2.04184;48.1992;4551
78_22;2022;2.3726;48.03082;4551
80_22;2022;2.377881;48.01927;4551
82_22;2022;2.43314;48.02956;4551
88_22;2022;2.43686;48.03344;4551
1Fonteneilles;2022;3.486882;47.628226;8970
2Saison;2022;3.46793;47.654504;8970
3Bretagne;2022;3.5235;47.72306111;8901
4Horton;2022;3.45922125;47.7018175;8970
5Bretagne;2022;3.52503;47.719418;8901
6Philbe;2022;3.553416;47.740364;8901
7Philbe;2022;3.555136;47.740102;8901
8Philbe;2022;3.554692;47.742354;8901
9Fonteneilles;2022;3.482288;47.62732;8970
10Horton;2022;3.465002;47.705306;8970
11Faucheux;2022;3.509444;47.605914;8970
12Jourlin;2022;3.524743333;47.73763333;8901
13Jourlin;2022;3.521621667;47.736165;8901
14Jourlin;2022;3.51795;47.73644;8901
15Horton;2022;3.62616;47.79129125;8901
16Douaie;2022;3.518242;47.738396;8901
17Douaie;2022;3.521788;47.740664;8901
18Vecten;2022;3.471576667;47.71335667;8970
19Horton;2022;3.639288333;47.77996333;8901
20Saison;2022;3.471315;47.66643333;8970
21Vecten;2022;3.472196;47.713258;8970
22Vecten;2022;3.478044;47.720131;8970
23Vecten;2022;3.477587;47.722463;8901
24Vecten;2022;3.475036;47.72499;8901
1_pc_2018;2018;-0.34813873;46.14696913;1758
2_pc_2018;2018;-0.34700854;46.14066579;1758
3_pc_2018;2018;-0.32726288;46.13046054;1758
4_pc_2018;2018;-0.33054049;46.12640297;1758
5_pc_2018;2018;-0.34951848;46.1185978;1758
6_pc_2018;2018;-0.54879022;46.13342454;1788
7_pc_2018;2018;-0.97197249;46.10818008;1762
8_pc_2018;2018;-0.97619499;46.10888604;1762
9_pc_2018;2018;-0.97968082;46.11102474;1762
10_pc_2018;2018;-0.93858139;46.1054068;1762
11_pc_2018;2018;-0.93942328;46.10610563;1762
12_pc_2018;2018;-0.90157102;46.100111;1762
13_pc_2018;2018;-0.86804134;46.10089041;1788
14_pc_2018;2018;-0.86432362;46.09851258;1788
15_pc_2018;2018;-0.81850284;46.10187936;1788
16_pc_2018;2018;-0.85973013;46.09819375;1788
17_pc_2018;2018;-0.85411048;46.09880327;1788
18_pc_2018;2018;-0.84961315;46.09955097;1788
19_pc_2018;2018;-0.81522118;46.09448644;1788
20_pc_2018;2018;-0.80560758;46.09499221;1788
21_pc_2018;2018;-0.79552693;46.09612626;1788
22_pc_2018;2018;-0.75319617;46.08227665;1788
23_pc_2018;2018;-0.75303183;46.08432832;1788
24_pc_2018;2018;-0.7552766;46.03538969;1788
25_pc_2018;2018;-0.58660761;45.98706961;1672
26_pc_2018;2018;-0.58735397;46.01421206;1672
27_pc_2018;2018;-0.6448621;46.08941146;1788
28_pc_2018;2018;-0.68224403;46.14790464;1788
29_pc_2018;2018;-1.08358148;46.13080554;1762
30_pc_2018;2018;-0.97393313;46.10843815;1762
31_pc_2018;2018;-0.82488932;46.09386917;1788
32_pc_2018;2018;-0.34429114;46.12159957;1758
33_pc_2018;2018;-0.32708352;46.12553012;1758
34_pc_2018;2018;-0.32678601;46.12620071;1758
35_pc_2018;2018;-0.34726499;46.14334176;1758
36_pc_2018;2018;-0.34926855;46.15179489;1758
37_pc_2018;2018;-0.36501095;46.17122368;7957
38_pc_2018;2018;-0.36631878;46.17556177;7957
39_pc_2018;2018;-0.35817379;46.18381895;7957
40_pc_2018;2018;-0.35347142;46.18891591;7957
41_pc_2018;2018;-0.3740587;46.19206461;7957
44_pc_2018;2018;-0.50225594;46.16606642;7907
45_pc_2018;2018;-0.49493861;46.17301271;7907
48_pc_2018;2018;-0.43156292;46.23120482;7957
49_pc_2018;2018;-0.39588877;46.21941356;7957
91_Gers_2019;2019;0.591461705;43.93290259;3254
68_PC_2019;2019;-0.45887844;46.43606724;7977
64_PC_2019;2019;-0.99754408;46.17403402;1751
130_Gers_2019;2019;0.95371587;43.56148295;3225
57_PC_2019;2019;-0.47266098;46.42278991;7977
36_PC_2019;2019;-1.04271463;46.19317823;1751
129_Gers_2019;2019;0.92588338;43.58491838;3225
121_Gers_2019;2019;0.940269104;43.57320394;3225
76_PC_2019;2019;-0.52165499;46.10023858;1758
99_PC_2019;2019;-0.77047001;46.23782505;7907
18_PC_2019;2019;-0.77876822;46.13357343;1788
133_Gers_2019;2019;0.752801081;43.74394978;3252
14_PC_2019;2019;-0.54396182;46.22571345;7907
69_PC_2019;2019;-0.55536816;46.08924822;1788
95_Gers_2019;2019;0.445870142;43.94532847;3254
20_PC_2019;2019;-1.00311873;46.17698348;1751
31_Gers_2019;2019;0.640896545;43.74366734;3252
38_PC_2019;2019;-1.02778426;46.18210237;1751
119_Gers_2019;2019;0.937245466;43.57293581;3225
101_Gers_2019;2019;0.664349318;43.74616424;3252
74_PC_2019;2019;-0.50127125;46.15250449;1788
33_Gers_2019;2019;0.900885834;43.60399696;3281
86_Gers_2019;2019;0.511016054;43.96616827;3254
56_PC_2019;2019;-0.70507933;46.25320679;7907
47_PC_2019;2019;-1.04079344;46.17618281;1751
50_PC_2019;2019;-0.91792033;46.10228438;1762
12_PC_2019;2019;-0.54059899;46.22478181;7907
70_PC_2019;2019;-0.55451341;46.09253582;1788
