parcelle;date;ndvi
1722;129;3606
1722;149;7392
1722;164;7679
1722;169;7855
1722;194;4981
1722;204;6421
1722;214;4475
1722;219;3795
1722;224;3458
2822;129;2808
2822;149;7321
2822;164;6390
2822;169;7689
2822;194;4915
2822;204;4632
2822;214;3579
2822;219;3426
2822;224;3103
2922;99;1633
2922;129;2381
2922;149;7082
2922;164;6419
2922;169;7486
2922;194;4967
2922;204;4808
2922;214;3219
2922;219;2991
2922;224;2685
3822;99;1479
3822;129;1673
3822;149;7711
3822;164;7945
3822;169;8177
3822;194;6858
3822;204;7747
3822;214;4773
3822;219;3448
3822;224;3650
4222;99;2231
4222;129;3310
4222;149;5527
4222;164;7316
4222;169;7164
4222;194;6658
4222;204;7114
4222;214;5303
4222;219;3939
4222;224;3058
4222;239;2344
4422;99;2235
4422;129;4586
4422;149;7896
4422;164;7891
4422;169;7848
4422;194;5548
4422;204;7146
4422;214;5333
4422;219;4716
4422;224;4389
4522;99;8680
4522;129;5639
4522;149;8423
4522;164;7026
4522;169;5228
4522;194;2112
4522;204;1837
4522;214;1461
4522;219;1578
4522;224;1523
4722;99;2248
4722;129;4204
4722;149;6281
4722;164;7485
4722;169;7354
4722;194;5894
4722;204;6770
4722;214;4782
4722;219;3872
4722;224;3347
5222;99;7685
5222;129;6232
5222;149;7676
5222;164;6747
5222;169;5432
5222;194;2857
5222;204;2129
5222;214;2832
5222;219;3387
5222;224;3122
5322;129;1897
5322;149;5786
5322;164;7638
5322;167;8517
5322;169;7654
5322;182;8838
5322;192;8369
5322;194;6898
5322;197;7292
5322;204;8260
5322;214;8133
5322;217;8108
5322;219;7980
5322;222;7592
5322;224;7506
5322;239;6043
5422;99;2177
5422;129;1846
5422;149;5513
5422;164;6770
5422;169;7286
5422;194;7219
5422;204;7976
5422;214;7284
5422;219;6950
5422;224;6842
5422;239;2833
6222;99;1920
6222;129;1962
6222;164;7336
6222;169;7961
6222;194;5448
6222;204;5173
6222;214;3062
6222;219;2677
6222;224;2398
6322;99;1846
6322;129;2104
6322;164;7545
6322;169;8076
6322;194;5783
6322;204;5341
6322;214;3495
6322;219;3180
6322;224;2845
6622;99;1941
6622;129;1834
6622;164;8086
6622;167;8461
6622;169;7637
6622;177;8496
6622;182;8296
6622;192;6996
6622;194;4958
6622;197;4971
6622;204;4685
6622;212;2573
6622;214;2622
6622;217;2821
6622;219;2382
6622;222;2312
6622;224;2121
6622;239;1411
6722;99;2533
6722;129;2252
6722;147;5217
6722;164;7357
6722;167;8077
6722;169;7319
6722;177;7674
6722;182;8078
6722;192;6418
6722;194;4209
6722;197;4983
6722;204;6317
6722;212;2475
6722;214;4267
6722;217;4501
6722;219;3850
6722;222;3448
6722;224;3166
7122;99;1827
7122;129;3587
7122;149;4566
7122;164;7033
7122;169;7520
7122;194;5806
7122;204;7527
7122;214;5867
7122;219;4354
7122;224;3039
7322;99;2336
7322;129;2218
7322;149;3972
7322;164;6511
7322;169;6952
7322;194;7226
7322;204;7263
7322;214;5714
7322;219;4483
7322;224;3367
7422;99;2106
7422;129;1946
7422;147;3282
7422;164;5954
7422;167;6897
7422;169;6589
7422;177;8162
7422;182;8267
7422;192;4830
7422;194;4617
7422;197;5147
7422;204;6741
7422;214;5134
7422;217;5128
7422;219;4418
7422;222;3560
7422;224;3042
7522;99;2150
7522;129;1708
7522;149;4465
7522;164;7055
7522;167;8015
7522;169;7293
7522;177;8778
7522;182;8717
7522;192;5156
7522;194;4106
7522;197;5689
7522;204;6476
7522;214;4349
7522;217;4616
7522;219;3864
7522;222;3156
7522;224;2737
7522;239;2207
7622;99;1999
7622;129;3731
7622;164;6791
7622;167;7819
7622;169;7132
7622;182;7073
7622;192;6546
7622;194;5375
7622;197;5380
7622;204;6060
7622;214;4564
7622;217;4408
7622;219;3610
7622;222;3116
7622;224;2588
7622;239;1838
7822;99;3109
7822;129;4143
7822;149;3895
7822;164;6461
7822;169;6089
7822;194;6214
7822;204;7199
7822;214;6153
7822;219;5666
7822;224;5052
7822;239;3150
8222;99;2705
8222;129;3495
8222;164;6586
8222;169;7053
8222;194;7518
8222;204;7684
8222;214;6686
8222;219;5671
8222;224;4519
8822;99;2107
8822;129;2841
8822;149;5074
8822;164;7459
8822;169;7883
8822;194;7529
8822;204;7345
8822;214;5474
8822;219;3917
8822;224;3034
aubiet11;94;1616
aubiet11;99;1765
aubiet11;114;2428
aubiet11;119;1998
aubiet11;129;1692
aubiet11;149;2802
aubiet11;164;4597
aubiet11;169;4809
aubiet11;194;6637
aubiet11;204;5372
aubiet11;214;4248
aubiet11;219;3294
aubiet11;224;2631
aubiet11;229;3047
aubiet11;234;2481
aubiet11;239;2271
aubiet22;94;1882
aubiet22;99;1962
aubiet22;114;2268
aubiet22;119;1674
aubiet22;129;1746
aubiet22;149;2535
aubiet22;164;4060
aubiet22;169;4145
aubiet22;194;6628
aubiet22;204;5663
aubiet22;214;5399
aubiet22;219;4749
aubiet22;224;3732
aubiet22;229;4703
aubiet22;234;4136
aubiet22;239;3631
coulonges2;112;2964
coulonges2;117;3720
coulonges2;122;3191
coulonges2;147;4950
coulonges2;152;6204
coulonges2;167;7809
coulonges2;177;8298
coulonges2;182;8661
coulonges2;187;8377
coulonges2;192;7902
coulonges2;197;5702
coulonges2;212;5239
coulonges2;217;4698
coulonges2;222;4264
fdgeda1;99;2108
fdgeda1;119;2411
fdgeda1;129;3005
fdgeda1;149;2100
fdgeda1;164;3497
fdgeda1;169;3735
fdgeda1;194;6437
fdgeda1;204;5747
fdgeda1;214;4541
fdgeda1;219;3577
fdgeda1;224;2816
fdgeda1;229;2896
fdgeda1;234;2341
fdgeda1;239;2377
