date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2018;2.6;10.4;0.2;0.74;649.2080259
02/02/2018;-1.5;8.5;0.2;0.48;733.1379395
03/02/2018;1.5;8.1;3.2;0.58;349.0861916
04/02/2018;-0.8;6.9;0.2;0.55;357.7214799
05/02/2018;0.2;4.7;0;1.06;861.571526
06/02/2018;-1.4;1.4;2;0.39;376.8150858
07/02/2018;-1;3;0;0.6;508.5908194
08/02/2018;-0.6;6.2;0;0.7;832.0829908
09/02/2018;-3.2;6.4;1;0.67;393.3860106
10/02/2018;-3.7;9;3.2;0.53;942.215844
11/02/2018;5.9;11.5;2.6;1.17;740.8836542
12/02/2018;-2.2;8.7;0;0.8;1046.418841
13/02/2018;-0.6;7.6;4.4;0.98;418.9000982
14/02/2018;-0.9;12.2;14.2;0.51;331.1156776
15/02/2018;7;14.9;1.6;0.25;335.85328
16/02/2018;8.2;11.5;13.4;0.91;565.2826612
17/02/2018;6.7;10.6;1.6;1.05;684.5113348
18/02/2018;0.7;8.1;1.6;0.27;364.0220281
19/02/2018;3.6;10.2;1.8;0.43;401.9067195
20/02/2018;9;12.9;0.2;1.39;478.3732705
21/02/2018;2.6;7.4;0;1.37;1058.721098
22/02/2018;-0.7;7.3;0;1.37;1203.555575
23/02/2018;-2.1;5.5;0;1.35;1037.361101
24/02/2018;-2.1;8.3;0;1.19;1165.251271
25/02/2018;-1.2;7.4;0;1.92;1283.96922
26/02/2018;-3.3;3.2;0;2.4;1340.065698
27/02/2018;-6.8;0.5;0;1.71;1348.747682
28/02/2018;-7.1;2;2.5;1.25;602.6844285
01/03/2018;-2.8;14.5;3;0.59;650.4937404
02/03/2018;6.9;11.8;2;2.66;1282.712593
03/03/2018;6.6;15.2;7;2.1;1291.724513
04/03/2018;6.4;12.8;6.8;1.45;884.0413344
05/03/2018;4.2;14.6;0.2;1.35;852.3689093
06/03/2018;4.4;11.1;13.6;1.01;728.1624149
07/03/2018;4.8;12.1;0.2;1.73;1356.602201
08/03/2018;2.5;15.5;0;1.86;1393.651572
09/03/2018;9.5;17;1.2;2.32;782.7857514
10/03/2018;11.2;18.9;0.2;1.92;898.5564645
11/03/2018;10.6;17.2;1.2;2.77;1094.613284
12/03/2018;9;12.5;6;2.05;928.9462595
13/03/2018;3.6;14;0;1.88;1379.319389
14/03/2018;3.1;16.2;9.6;1.93;1098.268139
15/03/2018;6.9;13.7;5.6;1.44;852.2666288
16/03/2018;6.2;13.1;2.4;1.63;1089.136862
17/03/2018;2.4;10.7;9.4;1.21;987.2672965
18/03/2018;3.9;11.1;0.4;1.44;1235.780458
19/03/2018;0.2;3.3;13.4;0.38;552.8044305
20/03/2018;0.8;9.8;0;2.52;1721.749271
21/03/2018;-0.9;10.3;0;2.23;1857.187609
22/03/2018;-3.1;10.4;0;1.67;1671.253679
23/03/2018;1.8;7.7;4.8;0.65;576.9854276
24/03/2018;6;13.1;0.8;1.99;1224.501898
25/03/2018;6.7;13.7;0;1.82;1014.508685
26/03/2018;5.1;13.3;3.4;2.08;1254.989655
27/03/2018;6.2;13;5.2;0.26;600.954878
28/03/2018;9.4;12.6;7.6;1.11;608.2359536
29/03/2018;1.1;13;4.8;1.74;1346.153681
30/03/2018;5.9;12.9;5.6;2.46;1489.878004
31/03/2018;4.6;11.3;2.8;2.05;1374.764901
01/04/2018;2.6;14.6;0;2.08;1531.23142
02/04/2018;7.8;17;0.4;2.8;960.7312995
03/04/2018;10.1;15.4;6.2;2.23;940.9238804
04/04/2018;8;14.6;4.2;1.75;998.1984639
05/04/2018;7.3;15.6;0;2.94;1944.402233
06/04/2018;5.7;23.8;0;3.94;2100.980215
07/04/2018;11.7;16.5;7.2;1.59;664.8790947
08/04/2018;9.6;15.2;0.2;1.3;702.7930085
09/04/2018;10.2;15.6;2.4;1.63;821.064221
10/04/2018;8.2;15;5.4;2.09;1283.884653
11/04/2018;9.5;16.4;2.4;2.33;1057.281242
12/04/2018;9;17.1;14.5;2.09;1229.914515
13/04/2018;8.1;19;5.2;2.19;1528.821906
14/04/2018;9.7;17.9;0.2;2.39;1465.114171
15/04/2018;7.1;17.8;0;2.35;1424.612059
16/04/2018;7.2;18.3;0.2;2.88;1916.226099
17/04/2018;3.9;24.6;0;3.49;2336.729085
18/04/2018;7;27.3;0;4.69;2355.497507
19/04/2018;11.7;27.8;0;5.06;2350.640226
20/04/2018;9;28;0;4.76;2344.643681
21/04/2018;10.3;28.7;0;4.72;2333.382602
22/04/2018;12.1;26.4;0.2;4.21;1923.482515
23/04/2018;13;21.1;0;3.51;1985.275699
24/04/2018;5.5;20.9;0;3.07;2206.102333
25/04/2018;7.8;17.2;0.8;2.42;1358.61244
26/04/2018;2;18.1;0;2.76;1954.927736
27/04/2018;1.6;18;0.2;2.93;1880.115402
28/04/2018;4.3;14.8;1.4;1.55;963.2150626
29/04/2018;9.6;14.9;10.6;1.46;777.2736013
30/04/2018;7.6;13.4;0;2.23;1330.070614
01/05/2018;2.9;15.6;0.2;3.33;2283.980273
02/05/2018;0.6;16.3;1.2;1.88;1430.101238
03/05/2018;9.8;18;0.2;4.11;2187.830845
04/05/2018;4.4;20.4;0;4.4;2618.275668
05/05/2018;6.7;25;0;4.83;2539.949262
06/05/2018;14;27.2;0;4.49;2325.631017
07/05/2018;10;29.5;0;4.52;2435.022581
08/05/2018;9.9;23.6;0;3.34;1793.499941
09/05/2018;12.5;20.3;0;3.75;1953.161401
10/05/2018;8.9;19.3;0;4.37;2473.903319
11/05/2018;4;24.7;1.8;4.06;2271.767752
12/05/2018;10.1;12.8;13.4;1.23;829.6665054
13/05/2018;3.8;15.2;0.8;3.09;2133.779157
14/05/2018;4.1;16.7;2.2;1.93;1077.141608
15/05/2018;10.3;22.2;0;4.58;2469.288489
16/05/2018;8.1;23.9;0;4.28;2514.31298
17/05/2018;11.7;20;0.2;3.92;2061.537134
18/05/2018;9.5;23.2;0;5.17;2744.566833
