Date;TMin;TMax;Pluie;ETP;Rgi_MF
01/02/2020;10.1;16.7;2.6;0.83;533.1937208
02/02/2020;10.2;21.7;0;1.49;823.9008833
03/02/2020;10.1;21.6;0.2;1.4;820.080889
04/02/2020;8.7;12.3;0.2;1.55;645.7653256
05/02/2020;2.6;10.6;0;0.81;989.756023
06/02/2020;0.3;12.2;0.2;0.98;1038.201397
07/02/2020;6;14.3;0.2;1;872.126295
08/02/2020;5.3;14.1;0;0.94;796.2975938
09/02/2020;7.7;16;0;1.22;829.5275487
10/02/2020;12.1;14.6;2.6;1.4;403.2007348
11/02/2020;9.7;13.4;2.4;1.28;413.0322036
12/02/2020;6.4;13.4;0;0.93;671.1202964
13/02/2020;6.5;16.4;0.2;1.38;668.9006237
14/02/2020;8.8;15.9;0;1.1;937.6589586
15/02/2020;5.3;17.7;0.2;1.39;1049.1055
16/02/2020;8.5;17.9;0;1.84;904.8762311
17/02/2020;9.2;11.1;1.8;0.72;368.7533653
18/02/2020;5.3;12.1;0.2;0.82;877.1210462
19/02/2020;4.8;13.6;0.2;1.13;871.7856672
20/02/2020;3.7;17.3;0;1.5;1225.850113
21/02/2020;7.8;13.2;1;1.28;667.9600268
22/02/2020;3.1;17.4;0.2;1.11;1247.207062
23/02/2020;3.4;13.9;0.6;0.95;843.1010563
24/02/2020;2.2;16.6;0;1.11;963.1863033
25/02/2020;7;12.1;6.4;0.88;499.0606214
26/02/2020;6.5;10.5;7.2;1.39;772.9457302
27/02/2020;6.6;12.6;8.8;1.03;418.4379713
28/02/2020;7.3;15.6;1;1.26;784.1062108
29/02/2020;8.8;13.4;0.4;1.35;428.7722175
01/03/2020;7;14.7;19.6;1.99;941.0982826
02/03/2020;6;11.5;7;1.57;848.2359594
03/03/2020;4.7;12.2;9;0.79;485.47622
04/03/2020;4.5;13.6;5;0.28;491.227637
05/03/2020;9.6;12.6;8;1.55;538.9632827
06/03/2020;4.8;9.7;4;1.31;819.2164445
07/03/2020;4.5;11.9;0.2;1.31;1037.368926
08/03/2020;6.5;14.9;2;1.71;1004.032327
09/03/2020;7.3;11.6;3;1.67;903.3249009
10/03/2020;7.6;15.7;0;1.8;1029.43976
11/03/2020;6.5;14.3;0;1.38;1196.74337
12/03/2020;5.9;13.7;0.4;0.69;594.4275285
