parcelle;date;NDVI_moy
222;10/05/2022;3255
222;14/06/2022;7444
222;19/06/2022;6815
222;14/07/2022;5632
222;24/07/2022;4573
222;03/08/2022;2947
222;08/08/2022;3024
222;13/08/2022;3051
522;10/05/2022;3466
522;30/05/2022;6143
522;14/06/2022;7715
522;19/06/2022;7767
522;14/07/2022;7507
522;24/07/2022;7748
522;03/08/2022;6545
522;08/08/2022;5887
522;13/08/2022;5374
622;10/05/2022;3165
622;30/05/2022;6147
622;14/06/2022;7980
622;19/06/2022;7879
622;14/07/2022;6704
622;24/07/2022;7329
622;03/08/2022;5304
622;08/08/2022;3789
622;13/08/2022;2978
622;28/08/2022;2123
1722;10/05/2022;3606
1722;30/05/2022;7392
1722;14/06/2022;7679
1722;19/06/2022;7855
1722;14/07/2022;4981
1722;24/07/2022;6421
1722;03/08/2022;4475
1722;08/08/2022;3795
1722;13/08/2022;3458
2822;10/05/2022;2808
2822;30/05/2022;7321
2822;14/06/2022;6390
2822;19/06/2022;7689
2822;14/07/2022;4915
2822;24/07/2022;4632
2822;03/08/2022;3579
2822;08/08/2022;3426
2822;13/08/2022;3103
2922;10/04/2022;1633
2922;10/05/2022;2381
2922;30/05/2022;7082
2922;14/06/2022;6419
2922;19/06/2022;7486
2922;14/07/2022;4967
2922;24/07/2022;4808
2922;03/08/2022;3219
2922;08/08/2022;2991
2922;13/08/2022;2685
3822;10/04/2022;1479
3822;10/05/2022;1673
3822;30/05/2022;7711
3822;14/06/2022;7945
3822;19/06/2022;8177
3822;14/07/2022;6858
3822;24/07/2022;7747
3822;03/08/2022;4773
3822;08/08/2022;3448
3822;13/08/2022;3650
4222;10/04/2022;2231
4222;10/05/2022;3310
4222;30/05/2022;5527
4222;14/06/2022;7316
4222;19/06/2022;7164
4222;14/07/2022;6658
4222;24/07/2022;7114
4222;03/08/2022;5303
4222;08/08/2022;3939
4222;13/08/2022;3058
4222;28/08/2022;2344
4422;10/04/2022;2235
4422;10/05/2022;4586
4422;30/05/2022;7896
4422;14/06/2022;7891
4422;19/06/2022;7848
4422;14/07/2022;5548
4422;24/07/2022;7146
4422;03/08/2022;5333
4422;08/08/2022;4716
4422;13/08/2022;4389
4522;10/04/2022;8680
4522;10/05/2022;5639
4522;30/05/2022;8423
4522;14/06/2022;7026
4522;19/06/2022;5228
4522;14/07/2022;2112
4522;24/07/2022;1837
4522;03/08/2022;1461
4522;08/08/2022;1578
4522;13/08/2022;1523
4722;10/04/2022;2248
4722;10/05/2022;4204
4722;30/05/2022;6281
4722;14/06/2022;7485
4722;19/06/2022;7354
4722;14/07/2022;5894
4722;24/07/2022;6770
4722;03/08/2022;4782
4722;08/08/2022;3872
4722;13/08/2022;3347
5222;10/04/2022;7685
5222;10/05/2022;6232
5222;30/05/2022;7676
5222;14/06/2022;6747
5222;19/06/2022;5432
5222;14/07/2022;2857
5222;24/07/2022;2129
5222;03/08/2022;2832
5222;08/08/2022;3387
5222;13/08/2022;3122
5322;10/05/2022;1897
5322;30/05/2022;5786
5322;14/06/2022;7638
5322;17/06/2022;8517
5322;19/06/2022;7654
5322;02/07/2022;8838
5322;12/07/2022;8369
5322;14/07/2022;6898
5322;17/07/2022;7292
5322;24/07/2022;8260
5322;03/08/2022;8133
5322;06/08/2022;8108
5322;08/08/2022;7980
5322;11/08/2022;7592
5322;13/08/2022;7506
5322;28/08/2022;6043
5422;10/04/2022;2177
5422;10/05/2022;1846
5422;30/05/2022;5513
5422;14/06/2022;6770
5422;19/06/2022;7286
5422;14/07/2022;7219
5422;24/07/2022;7976
5422;03/08/2022;7284
5422;08/08/2022;6950
5422;13/08/2022;6842
5422;28/08/2022;2833
6222;10/04/2022;1920
6222;10/05/2022;1962
6222;14/06/2022;7336
6222;19/06/2022;7961
6222;14/07/2022;5448
6222;24/07/2022;5173
6222;03/08/2022;3062
6222;08/08/2022;2677
6222;13/08/2022;2398
6322;10/04/2022;1846
6322;10/05/2022;2104
6322;14/06/2022;7545
6322;19/06/2022;8076
6322;14/07/2022;5783
6322;24/07/2022;5341
6322;03/08/2022;3495
6322;08/08/2022;3180
6322;13/08/2022;2845
6622;10/04/2022;1941
6622;10/05/2022;1834
6622;14/06/2022;8086
6622;17/06/2022;8461
6622;19/06/2022;7637
6622;27/06/2022;8496
6622;02/07/2022;8296
6622;12/07/2022;6996
6622;14/07/2022;4958
6622;17/07/2022;4971
6622;24/07/2022;4685
6622;01/08/2022;2573
6622;03/08/2022;2622
6622;06/08/2022;2821
6622;08/08/2022;2382
6622;11/08/2022;2312
6622;13/08/2022;2121
