"";"parcelle";"date";"NDVI_moy";"NDVI_et"
"2";"Aubiet11";2022-04-05;"1616";"969"
"3";"Aubiet11";2022-04-10;"1765";"900"
"4";"Aubiet11";2022-04-25;"2428";"1003"
"5";"Aubiet11";2022-04-30;"1998";"551"
"6";"Aubiet11";2022-05-10;"1692";"1001"
"7";"Aubiet11";2022-05-30;"2802";"878"
"8";"Aubiet11";2022-06-14;"4597";"883"
"9";"Aubiet11";2022-06-19;"4809";"845"
"10";"Aubiet11";2022-07-14;"6637";"1322"
"11";"Aubiet11";2022-07-24;"5372";"1323"
"12";"Aubiet11";2022-08-03;"4248";"1161"
"13";"Aubiet11";2022-08-08;"3294";"875"
"14";"Aubiet11";2022-08-13;"2631";"553"
"15";"Aubiet11";2022-08-18;"3047";"681"
"16";"Aubiet11";2022-08-23;"2481";"797"
"17";"Aubiet11";2022-08-28;"2271";"790"
"18";"Aubiet22";2022-04-05;"1882";"1023"
"19";"Aubiet22";2022-04-10;"1962";"947"
"20";"Aubiet22";2022-04-25;"2268";"1186"
"21";"Aubiet22";2022-04-30;"1674";"877"
"22";"Aubiet22";2022-05-10;"1746";"1180"
"23";"Aubiet22";2022-05-30;"2535";"1400"
"24";"Aubiet22";2022-06-14;"4060";"1555"
"25";"Aubiet22";2022-06-19;"4145";"1530"
"26";"Aubiet22";2022-07-14;"6628";"1125"
"27";"Aubiet22";2022-07-24;"5663";"1203"
"28";"Aubiet22";2022-08-03;"5399";"1308"
"29";"Aubiet22";2022-08-08;"4749";"1550"
"30";"Aubiet22";2022-08-13;"3732";"1299"
"31";"Aubiet22";2022-08-18;"4703";"1954"
"32";"Aubiet22";2022-08-23;"4136";"1755"
"33";"Aubiet22";2022-08-28;"3631";"1568"
"34";"COULONGES2";2022-04-23;"2964";"403"
"35";"COULONGES2";2022-04-28;"3720";"1033"
"36";"COULONGES2";2022-05-03;"3191";"1286"
"37";"COULONGES2";2022-05-28;"4950";"890"
"38";"COULONGES2";2022-06-02;"6204";"1000"
"39";"COULONGES2";2022-06-17;"7809";"783"
"40";"COULONGES2";2022-06-27;"8298";"540"
"41";"COULONGES2";2022-07-02;"8661";"434"
"42";"COULONGES2";2022-07-07;"8377";"412"
"43";"COULONGES2";2022-07-12;"7902";"521"
"44";"COULONGES2";2022-07-17;"5702";"355"
"45";"COULONGES2";2022-08-01;"5239";"538"
"46";"COULONGES2";2022-08-06;"4698";"671"
"47";"COULONGES2";2022-08-11;"4264";"762"
"48";"FDGEDA1";2022-04-10;"2108";"487"
"49";"FDGEDA1";2022-04-30;"2411";"577"
"50";"FDGEDA1";2022-05-10;"3005";"672"
"51";"FDGEDA1";2022-05-30;"2100";"586"
"52";"FDGEDA1";2022-06-14;"3497";"836"
"53";"FDGEDA1";2022-06-19;"3735";"977"
"54";"FDGEDA1";2022-07-14;"6437";"1861"
"55";"FDGEDA1";2022-07-24;"5747";"1878"
"56";"FDGEDA1";2022-08-03;"4541";"1335"
"57";"FDGEDA1";2022-08-08;"3577";"834"
"58";"FDGEDA1";2022-08-13;"2816";"592"
"59";"FDGEDA1";2022-08-18;"2896";"574"
"60";"FDGEDA1";2022-08-23;"2341";"461"
"61";"FDGEDA1";2022-08-28;"2377";"524"
"62";"FDGEDA2";2022-04-10;"2226";"579"
"63";"FDGEDA2";2022-05-10;"2705";"756"
"64";"FDGEDA2";2022-05-30;"2304";"882"
"65";"FDGEDA2";2022-06-14;"3866";"950"
"66";"FDGEDA2";2022-06-19;"4399";"1120"
"67";"FDGEDA2";2022-07-14;"7028";"1707"
"68";"FDGEDA2";2022-07-24;"6627";"1527"
"69";"FDGEDA2";2022-08-03;"5408";"1180"
"70";"FDGEDA2";2022-08-08;"4258";"852"
"71";"FDGEDA2";2022-08-13;"3219";"617"
"72";"FDGEDA2";2022-08-18;"2877";"800"
"73";"FDGEDA2";2022-08-23;"2406";"625"
"74";"FDGEDA2";2022-08-28;"2775";"719"
"75";"FDGEDA6";2022-04-10;"2593";"1187"
"76";"FDGEDA6";2022-05-10;"3194";"1016"
"77";"FDGEDA6";2022-05-30;"2665";"1298"
"78";"FDGEDA6";2022-06-14;"4891";"1178"
"79";"FDGEDA6";2022-06-19;"4756";"1077"
"80";"FDGEDA6";2022-07-14;"5592";"1145"
"81";"FDGEDA6";2022-07-24;"4750";"910"
"82";"FDGEDA6";2022-08-03;"3615";"755"
"83";"FDGEDA6";2022-08-08;"3062";"778"
"84";"FDGEDA6";2022-08-13;"2704";"816"
"85";"FDGEDA6";2022-08-28;"2820";"989"
"86";"FDGEDA7";2022-04-10;"2171";"533"
"87";"FDGEDA7";2022-05-10;"2819";"739"
"88";"FDGEDA7";2022-05-30;"2082";"911"
"89";"FDGEDA7";2022-06-14;"4049";"980"
"90";"FDGEDA7";2022-06-19;"4380";"864"
"91";"FDGEDA7";2022-07-14;"6529";"705"
"92";"FDGEDA7";2022-07-24;"5959";"634"
"93";"FDGEDA7";2022-08-03;"4755";"547"
"94";"FDGEDA7";2022-08-08;"3990";"558"
"95";"FDGEDA7";2022-08-13;"3373";"609"
"96";"FDGEDA7";2022-08-28;"3133";"707"
"97";"FDGEDA8";2022-04-10;"2108";"452"
"98";"FDGEDA8";2022-05-10;"2879";"523"
"99";"FDGEDA8";2022-05-30;"3048";"624"
"100";"FDGEDA8";2022-06-14;"6533";"1042"
"101";"FDGEDA8";2022-06-19;"6410";"1107"
"102";"FDGEDA8";2022-07-14;"6456";"970"
"103";"FDGEDA8";2022-07-24;"5118";"807"
"104";"FDGEDA8";2022-08-03;"3183";"616"
"105";"FDGEDA8";2022-08-08;"2491";"502"
"106";"FDGEDA8";2022-08-13;"2209";"398"
"107";"FDGEDA8";2022-08-28;"2196";"558"
"108";"Lamagistere3";2022-04-10;"1234";"441"
"109";"Lamagistere3";2022-05-10;"1284";"797"
"110";"Lamagistere3";2022-05-30;"4220";"683"
"111";"Lamagistere3";2022-06-14;"7539";"691"
"112";"Lamagistere3";2022-06-19;"7633";"662"
"113";"Lamagistere3";2022-07-14;"8229";"361"
"114";"Lamagistere3";2022-07-24;"7853";"356"
"115";"Lamagistere3";2022-08-03;"5971";"975"
"116";"Lamagistere3";2022-08-08;"4652";"1140"
"117";"Lamagistere3";2022-08-13;"3586";"894"
"118";"Lamagistere3";2022-08-28;"2539";"916"
"119";"TIagen1";2022-04-10;"2233";"1195"
"120";"TIagen1";2022-05-10;"2022";"758"
"121";"TIagen1";2022-05-28;"3553";"1817"
"122";"TIagen1";2022-05-30;"3420";"1658"
"123";"TIagen1";2022-06-14;"5729";"630"
"124";"TIagen1";2022-06-19;"5712";"833"
"125";"TIagen1";2022-07-12;"7812";"714"
"126";"TIagen1";2022-07-14;"7571";"675"
"127";"TIagen1";2022-07-17;"7303";"583"
"128";"TIagen1";2022-07-24;"6990";"694"
"129";"TIagen1";2022-08-01;"6205";"609"
"130";"TIagen1";2022-08-03;"5530";"698"
"131";"TIagen1";2022-08-06;"4752";"780"
"132";"TIagen1";2022-08-08;"4497";"1020"
"133";"TIagen1";2022-08-11;"3900";"1208"
"134";"TIagen1";2022-08-13;"3510";"956"
"135";"TIagen1";2022-08-28;"3264";"1618"
"136";"TIravard1";2022-05-03;"1668";"681"
"137";"TIravard1";2022-05-28;"4090";"810"
"138";"TIravard1";2022-06-02;"4222";"956"
"139";"TIravard1";2022-06-17;"4077";"729"
"140";"TIravard1";2022-06-27;"5820";"832"
"141";"TIravard1";2022-07-02;"6020";"826"
"142";"TIravard1";2022-07-07;"4752";"723"
"143";"TIravard1";2022-07-12;"3865";"643"
"144";"TIravard1";2022-07-17;"2980";"275"
"145";"TIravard1";2022-08-01;"2159";"258"
"146";"TIravard1";2022-08-06;"1734";"340"
